species,taxon,taxon2
Lactarius subdulcis,Basidiomycota,Fungi
Lactarius quietus,Basidiomycota,Fungi
Solirubrobacter soli,Actinobacteria,Gram pos
Streptosporangium roseum,Actinobacteria,Gram pos
Paenibacillus alginolyticus,Firmicutes,Gram pos
Labilithrix luteola,Proteobacteria,Gram neg
Chelativorans multitrophicus,Proteobacteria,Gram neg
Periconia macrospinosa,Ascomycota,Fungi
Trichoderma virens,Ascomycota,Fungi
Armillaria gallica,Basidiomycota,Fungi
Psilocybe cyanescens,Basidiomycota,Fungi
Rhizophagus irregularis,Glomeromycota,Fungi
Paraburkholderia xenovorans,Proteobacteria,Gram neg
